Name, TotalOccurances, AlwaysUsed 
com.floreantpos.model.dao.BaseCustomerDAO,4,true
com.floreantpos.model.base.BasePackagingUnit,4,true
com.floreantpos.extension.ExtensionManager$1,17,true
com.floreantpos.swing.GlassPane,143,true
com.floreantpos.model.MenuGroup,14,true
com.floreantpos.ui.TicketListView$TicketListTableModel,67,true
com.floreantpos.swing.QwertyKeyPad,12,true
com.floreantpos.model.CardReader,1,true
com.floreantpos.report.ReceiptPrintService,49,true
com.floreantpos.ui.views.order.CategoryView$CategoryButton,30,true
com.floreantpos.Database,6,true
com.floreantpos.model.base.BaseShift,103,true
com.floreantpos.model.util.DateUtil,1,true
com.floreantpos.model.base.BaseInventoryItem,4,true
com.floreantpos.model.base.BaseRecepieItem,4,true
com.floreantpos.ui.HeaderPanel$1,2,true
com.floreantpos.model.base.BaseCustomer,4,true
com.floreantpos.model.PosTransaction,45,true
com.floreantpos.model.base.BaseRecepie,4,true
com.floreantpos.model.base.BaseKitchenTicket,144,true
com.floreantpos.model.UserType,16,true
com.floreantpos.model.base.BaseMenuGroup,894,true
com.floreantpos.model.base.BaseZipCodeVsDeliveryCharge,4,true
com.floreantpos.model.dao.TerminalDAO,2,true
com.floreantpos.model.base.BaseDeliveryAddress,4,true
com.floreantpos.model.dao.MenuItemDAO,12,true
com.floreantpos.ui.views.order.MenuItemView,149,true
com.floreantpos.model.base.BaseShopFloorTemplate,4,true
com.floreantpos.model.dao.BasePrinterConfigurationDAO,3,true
com.floreantpos.model.base.BaseUserPermission,4300,true
com.floreantpos.model.base.BaseEmployeeInOutHistory,4,true
com.floreantpos.swing.BeanTableModel,144,true
com.floreantpos.ui.TicketListView$5,3,true
com.floreantpos.model.base.BaseVoidReason,4,true
com.floreantpos.model.base.BaseInventoryWarehouse,4,true
com.floreantpos.model.base.BaseModifierMultiplierPrice,4,true
com.floreantpos.model.dao.BaseRestaurantDAO,9,true
com.floreantpos.demo.KitchenDisplayView,21,true
com.floreantpos.ui.ticket.TicketViewerTableModel,541,true
com.floreantpos.ui.views.order.TicketSelectionDialog,6,true
com.floreantpos.model.base.BaseCurrency,75,true
com.floreantpos.customer.DefaultCustomerListView,10,true
com.floreantpos.report.AbstractReportDataSource,28,true
com.floreantpos.model.base.BaseDrawerAssignedHistory,16,true
com.floreantpos.ui.TicketListView$1,22,true
com.floreantpos.Messages,627,true
com.floreantpos.model.dao.BasePrinterGroupDAO,160,true
com.floreantpos.model.UserPermission,989,true
com.floreantpos.model.base.BasePayoutReason,4,true
com.floreantpos.model.base.BaseTableBookingInfo,4,true
