Name, TotalOccurances, AlwaysUsed 
com.floreantpos.swing.PosUIManager : getSize,3134,TRUE
com.floreantpos.model.base.BaseUserPermission : getName,2636,TRUE
com.floreantpos.swing.PosButton : getPreferredSize,2475,TRUE
com.floreantpos.model.UserPermission : equals,989,TRUE
com.floreantpos.model.base.BaseUserPermission : hashCode,962,TRUE
com.floreantpos.swing.POSToggleButton : getPreferredSize,751,TRUE
com.floreantpos.swing.POSButtonUI : update,689,TRUE
com.floreantpos.Messages : getString,627,TRUE
com.floreantpos.main.Application : getInstance,596,TRUE
com.floreantpos.swing.POSToggleButtonUI : update,497,TRUE
com.floreantpos.ui.ticket.TicketViewerTable : getModel,427,TRUE
com.floreantpos.model.dao._BaseRootDAO : getSession,356,TRUE
com.floreantpos.swing.POSButtonUI : createUI,352,TRUE
com.floreantpos.swing.PosButton : getUIClassID,352,TRUE
com.floreantpos.model.base.BaseUserPermission : setName,351,TRUE
com.floreantpos.model.base.BaseUserPermission : initialize,351,TRUE
com.floreantpos.ui.ticket.TicketViewerTableModel : getRowCount,326,TRUE
com.floreantpos.util.NumberUtil : roundToTwoDigit,273,TRUE
com.floreantpos.swing.ListTableModel : getColumnCount,262,TRUE
com.floreantpos.main.Application : getCurrentUser,250,TRUE
com.floreantpos.model.base.BaseUser : getFirstName,220,TRUE
com.floreantpos.model.dao._BaseRootDAO : getConfigurationFileName,217,TRUE
com.floreantpos.main.Application : getTerminal,215,TRUE
com.floreantpos.model.dao._BaseRootDAO : getSessionFactory,215,TRUE
com.floreantpos.model.base.BaseTerminal : getName,194,TRUE
com.floreantpos.ui.HeaderPanel : access$300,190,TRUE
com.floreantpos.ui.HeaderPanel : showHeader,190,TRUE
com.floreantpos.ui.HeaderPanel$ClockTimerHandler : actionPerformed,190,TRUE
com.floreantpos.swing.POSToggleButtonUI : paintButtonPressed,164,TRUE
com.floreantpos.model.base.BaseTicketItem : getTicketItemModifiers,158,TRUE
com.floreantpos.model.base.BaseTicketItem : getAddOns,158,TRUE
com.floreantpos.model.dao._BaseRootDAO : closeSession,144,TRUE
com.floreantpos.model.base.BaseTicketItem : getSizeModifier,137,TRUE
com.floreantpos.model.base.BaseMenuGroup : getId,136,TRUE
com.floreantpos.swing.GlassPane : mouseMoved,136,TRUE
com.floreantpos.model.base.BaseTicketItem : getDiscountAmount,129,TRUE
com.floreantpos.swing.ListTableModel : getRowCount,125,TRUE
com.floreantpos.ui.ticket.TicketViewerTableModel : get,118,TRUE
com.floreantpos.model.dao._BaseRootDAO : findAll,117,TRUE
