Name, TotalOccurances, AlwaysUsed 
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,272,true
org.jfree.chart.XYStepAreaChartTest$LocalListener,2,false
org.jfree.chart.axis.TickUnit,4780,true
org.jfree.chart.ChartColor,5,true
org.jfree.chart.XYStepChartTest$LocalListener,2,false
org.jfree.chart.renderer.AbstractRenderer,478,true
org.jfree.chart.renderer.xy.XYAreaRenderer,1,false
org.jfree.chart.axis.NumberTickUnitSource,177,true
org.jfree.data.general.AbstractDataset,48,true
org.jfree.chart.block.RectangleConstraint,125,true
org.jfree.chart.util.StrokeList,8,false
org.jfree.chart.title.Title,190,true
org.jfree.chart.title.LegendGraphic,82,true
org.jfree.chart.block.BlockParams,35,true
org.jfree.chart.text.TextLine,60,true
org.jfree.data.general.AbstractSeriesDataset,58,true
org.jfree.chart.LegendItemCollection,20,true
org.jfree.chart.util.ShapeUtils,5,true
org.jfree.chart.axis.AxisSpace,20,true
org.jfree.data.xy.AbstractIntervalXYDataset,6,false
org.jfree.chart.axis.DateTickUnit,132,false
org.jfree.data.xy.XYDataItem,672,true
org.jfree.chart.text.TextFragment,70,true
org.jfree.data.time.DateRange,12,false
org.jfree.chart.ui.RectangleEdge,124,true
org.jfree.chart.plot.XYPlot,1712,true
org.jfree.chart.block.AbstractBlock,370,true
org.jfree.chart.block.BorderArrangement,20,true
org.jfree.chart.block.BlockResult,5,true
org.jfree.chart.axis.DateAxis$DefaultTimeline,61,false
org.jfree.data.xy.AbstractXYDataset,306,true
org.jfree.chart.ChartFactory,27,true
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,true
org.jfree.data.general.DatasetUtils,233,true
org.jfree.chart.axis.DateAxis,74,false
org.jfree.chart.StandardChartTheme,135,true
org.jfree.chart.plot.Plot,1133,true
org.jfree.chart.text.TextUtils,137,true
org.jfree.chart.title.LegendItemBlockContainer,15,true
org.jfree.chart.util.PaintList,21,true
org.jfree.chart.XYLineChartTest$LocalListener,2,false
org.jfree.chart.axis.DateTickUnitType,882,false
org.jfree.chart.axis.TickUnits,123,false
org.jfree.chart.LegendItem,125,true
org.jfree.chart.event.RendererChangeEvent,44,true
org.jfree.chart.text.G2TextMeasurer,12,true
org.jfree.chart.XYBarChartTest$LocalListener,2,false
org.jfree.chart.ui.TextAnchor,90,true
org.jfree.chart.block.CenterArrangement,15,true
org.jfree.chart.block.LabelBlock,10,true
org.jfree.chart.axis.NumberAxis,685,true
org.jfree.data.xy.XYBarDataset,249,false
org.jfree.chart.axis.Tick,20,true
org.jfree.chart.text.TextBlock,75,true
org.jfree.data.general.Series,286,true
org.jfree.chart.axis.Axis,752,true
org.jfree.chart.block.BlockContainer,90,true
org.jfree.chart.JFreeChart,957,true
org.jfree.chart.axis.NumberTickUnit,45,true
org.jfree.data.xy.XYSeriesCollection,1198,true
org.jfree.chart.renderer.xy.XYBarRenderer,32,false
org.jfree.chart.title.TextTitle,50,true
org.jfree.chart.block.BlockBorder,160,true
org.jfree.chart.util.ShapeList,9,false
org.jfree.chart.title.LegendTitle,125,true
org.jfree.chart.util.BooleanList,76,true
org.jfree.chart.ui.Size2D,225,true
org.jfree.chart.util.AbstractObjectList,144,true
org.jfree.chart.ui.RectangleAnchor,15,true
org.jfree.chart.XYStepChartTest,9,false
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,17,false
org.jfree.chart.util.Args,2156,true
org.jfree.chart.axis.ValueAxis,1038,true
org.jfree.data.xy.IntervalXYDelegate,186,false
org.jfree.chart.XYAreaChartTest$LocalListener,2,false
org.jfree.chart.plot.DefaultDrawingSupplier,80,true
org.jfree.chart.event.ChartChangeEvent,426,true
org.jfree.chart.XYBarChartTest,9,false
org.jfree.chart.ui.RectangleInsets,1690,true
org.jfree.chart.XYStepAreaChartTest,9,false
org.jfree.chart.XYLineChartTest,9,false
org.jfree.data.xy.XYSeries,1312,true
org.jfree.data.Range,864,true
org.jfree.chart.block.FlowArrangement,25,true
org.jfree.chart.XYAreaChartTest,9,false
org.jfree.chart.util.ResourceBundleWrapper,5,true
