Name, TotalOccurances, AlwaysUsed 
org.jfree.chart.axis.ValueAxis : isInverted,39,true
org.jfree.chart.plot.XYPlot : getRangeAxisCount,15,true
org.jfree.chart.title.LegendItemBlockContainer : setToolTipText,5,true
org.jfree.chart.block.AbstractBlock : trimBorder,30,true
org.jfree.chart.title.LegendTitle : fetchLegendItems,5,true
org.jfree.chart.axis.NumberAxis : selectAutoTickUnit,9,true
org.jfree.chart.LegendItem : setLabelFont,5,true
org.jfree.chart.ui.RectangleInsets : calculateRightInset,215,true
org.jfree.chart.XYStepAreaChartTest : createChart,3,false
org.jfree.chart.axis.ValueAxis : getRange,212,true
org.jfree.chart.text.TextBlock : draw,20,true
org.jfree.chart.plot.XYPlot : mapDatasetToDomainAxis,15,true
org.jfree.chart.axis.Axis : getFixedDimension,10,true
org.jfree.chart.title.LegendGraphic : setShapeLocation,5,true
org.jfree.chart.axis.TickUnits : add,120,false
org.jfree.chart.title.LegendGraphic : setLineVisible,5,true
org.jfree.chart.plot.DefaultDrawingSupplier : createStandardSeriesShapes,5,true
org.jfree.chart.ChartFactory : createXYStepAreaChart,6,false
org.jfree.chart.plot.Plot : setChart,15,true
org.jfree.chart.LegendItem : getLabelFont,5,true
org.jfree.chart.axis.NumberAxis : selectHorizontalAutoTickUnit,4,false
org.jfree.chart.XYLineChartTest : testDrawWithNullInfo,1,false
org.jfree.chart.axis.DateTickUnitType : equals,502,false
org.jfree.chart.axis.DateAxis$DefaultTimeline : toMillisecond,26,false
org.jfree.chart.text.TextLine : draw,10,true
org.jfree.chart.plot.Plot : setOutlinePaint,15,true
org.jfree.data.xy.XYSeriesCollection : getStartX,3,false
org.jfree.data.xy.IntervalXYDelegate : getDomainBounds,27,false
org.jfree.chart.axis.DateAxis : valueToJava2D,3,false
org.jfree.chart.title.LegendTitle : getLegendItemGraphicAnchor,5,true
org.jfree.chart.JFreeChart : createAlignedRectangle2D,10,true
org.jfree.chart.XYStepChartTest : testDrawWithNullInfo,1,false
org.jfree.data.xy.XYSeries : getX,234,true
org.jfree.chart.ui.TextAnchor : isVerticalCenter,10,true
org.jfree.chart.block.AbstractBlock : getFrame,5,true
org.jfree.data.xy.XYSeries : getY,78,true
org.jfree.chart.axis.Axis : setLabelPaint,30,true
org.jfree.chart.axis.ValueAxis : lengthToJava2D,18,true
org.jfree.chart.axis.NumberAxis : calculateLowestVisibleTickValue,9,true
org.jfree.chart.LegendItem : setOutlinePaint,1,false
org.jfree.data.time.DateRange : getLowerMillis,3,false
org.jfree.chart.renderer.AbstractRenderer : getAutoPopulateSeriesPaint,15,true
org.jfree.chart.axis.NumberTickUnitSource : next,19,true
org.jfree.chart.plot.XYPlot : mapDatasetToRangeAxes,15,true
org.jfree.chart.util.AbstractObjectList : set,10,true
org.jfree.chart.plot.DefaultDrawingSupplier : getNextPaint,5,true
org.jfree.chart.plot.XYPlot : setAxisOffset,15,true
org.jfree.chart.block.RectangleConstraint : getWidthConstraintType,35,true
org.jfree.data.xy.XYSeriesCollection : getY,78,true
org.jfree.chart.plot.XYPlot : getDomainAxis,41,true
org.jfree.chart.LegendItem : setSeriesIndex,5,true
org.jfree.data.xy.IntervalXYDelegate : getEndX,3,false
org.jfree.chart.axis.DateAxis : getTickUnit,3,false
org.jfree.data.xy.XYSeriesCollection : getX,234,true
org.jfree.chart.XYBarChartTest : testDrawWithNullInfo,1,false
org.jfree.chart.block.CenterArrangement : add,5,true
org.jfree.chart.block.BorderArrangement : arrange,5,true
org.jfree.data.time.DateRange : getLowerDate,3,false
org.jfree.chart.axis.NumberAxis : autoAdjustRange,129,true
org.jfree.chart.LegendItem : getDataset,5,true
org.jfree.chart.axis.Axis : setTickLabelPaint,30,true
org.jfree.chart.LegendItemCollection : getItemCount,10,true
org.jfree.chart.plot.XYPlot : setOrientation,15,true
org.jfree.chart.labels.StandardXYSeriesLabelGenerator : generateLabel,5,true
org.jfree.chart.axis.Axis : setPlot,30,true
org.jfree.chart.renderer.AbstractRenderer : isSeriesVisibleInLegend,5,true
org.jfree.chart.plot.Plot : setForegroundAlpha,3,false
org.jfree.data.general.Series : addChangeListener,20,true
org.jfree.chart.event.ChartChangeEvent : setChart,391,true
org.jfree.chart.block.LabelBlock : draw,5,true
org.jfree.chart.plot.XYPlot : getAnnotations,15,true
org.jfree.chart.ui.RectangleInsets : extendHeight,75,true
org.jfree.chart.plot.XYPlot : getRendererForDataset,103,true
org.jfree.chart.renderer.AbstractRenderer : getLegendShape,3,false
org.jfree.chart.axis.Axis : isTickLabelsVisible,10,true
org.jfree.data.general.Series : notifyListeners,60,true
org.jfree.chart.renderer.AbstractRenderer : getLegendTextFont,5,true
org.jfree.data.xy.AbstractIntervalXYDataset : getStartXValue,3,false
org.jfree.data.xy.IntervalXYDelegate : getIntervalWidth,60,false
org.jfree.chart.ChartFactory : createXYAreaChart,6,false
org.jfree.chart.block.RectangleConstraint : getWidth,10,true
org.jfree.chart.renderer.AbstractRenderer : isSeriesVisible,65,true
org.jfree.chart.XYAreaChartTest$LocalListener : access$000,1,false
org.jfree.chart.renderer.AbstractRenderer : getAutoPopulateSeriesStroke,15,true
org.jfree.chart.axis.NumberTickUnitSource : getTickLabelFormat,20,true
org.jfree.chart.plot.DefaultDrawingSupplier : getNextStroke,2,false
org.jfree.data.general.DatasetUtils : iterateToFindDomainBounds,32,true
org.jfree.data.xy.XYSeries : getRawDataItem,312,true
org.jfree.chart.title.LegendTitle : arrange,5,true
org.jfree.chart.axis.DateAxis : configure,16,false
org.jfree.data.xy.XYDataItem : compareTo,60,true
org.jfree.chart.renderer.AbstractRenderer : notifyListeners,68,true
org.jfree.data.general.AbstractSeriesDataset : indexOf,58,true
org.jfree.chart.title.Title : addChangeListener,30,true
org.jfree.chart.plot.XYPlot : calculateAxisSpace,5,true
org.jfree.chart.axis.DateAxis : getMaximumDate,1,false
org.jfree.chart.LegendItem : isLineVisible,5,true
org.jfree.chart.LegendItem : getFillPaintTransformer,5,true
org.jfree.chart.XYLineChartTest : setUp,3,false
org.jfree.chart.renderer.AbstractRenderer : lookupLegendTextPaint,5,true
org.jfree.chart.plot.XYPlot : getDataset,40,true
org.jfree.chart.ui.RectangleInsets : trimWidth,60,true
org.jfree.chart.XYLineChartTest$LocalListener : access$000,1,false
org.jfree.chart.block.LabelBlock : arrange,5,true
org.jfree.data.xy.XYSeriesCollection : getRangeBounds,18,false
org.jfree.data.xy.XYSeries : maxIgnoreNaN,120,true
org.jfree.chart.axis.TickUnit : compareTo,2348,false
org.jfree.chart.XYAreaChartTest : testDrawWithNullInfo,1,false
org.jfree.chart.renderer.AbstractRenderer : getSeriesStroke,2,false
org.jfree.chart.util.StrokeList : getStroke,6,false
org.jfree.chart.plot.Plot : addChangeListener,15,true
org.jfree.chart.JFreeChart : titleChanged,60,true
org.jfree.chart.axis.NumberAxis : createIntegerTickUnits,3,false
org.jfree.chart.plot.XYPlot : integerise,5,true
org.jfree.chart.axis.NumberAxis : estimateMaximumTickLabelHeight,10,true
org.jfree.chart.axis.ValueAxis : findMaximumTickLabelWidth,5,true
org.jfree.chart.block.AbstractBlock : setMargin,15,true
org.jfree.chart.XYStepAreaChartTest$LocalListener : chartChanged,1,false
org.jfree.chart.title.TextTitle : arrange,5,true
org.jfree.chart.LegendItem : setSeriesKey,5,true
org.jfree.chart.plot.Plot : resolveRangeAxisLocation,5,true
org.jfree.data.xy.XYBarDataset : getSeriesCount,31,false
org.jfree.chart.axis.NumberAxis : getAutoRangeIncludesZero,90,true
org.jfree.chart.axis.DateAxis : refreshTicks,1,false
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getSeriesShapesVisible,2,false
org.jfree.chart.block.AbstractBlock : toContentConstraint,20,true
org.jfree.chart.axis.DateAxis : selectAutoTickUnit,1,false
org.jfree.chart.plot.XYPlot : setRenderer,27,false
org.jfree.chart.StandardChartTheme : getDrawingSupplier,15,true
org.jfree.chart.axis.NumberTickUnitSource : getTickSize,54,true
org.jfree.chart.title.Title : setPosition,15,true
org.jfree.chart.block.BlockBorder : getInsets,125,true
org.jfree.chart.util.ShapeList : getShape,6,false
org.jfree.chart.axis.DateTickUnitType : toString,378,false
org.jfree.chart.renderer.AbstractRenderer : setDefaultItemLabelFont,30,true
org.jfree.chart.axis.DateTickUnit : getCalendarField,2,false
