DateTime	ClassName	FunctionName	Parameters	Line	StackDepth
2017-11-18T17:24:27.150	org.jfree.chart.XYAreaChartTest	setUp	()	78 	1
2017-11-18T17:24:27.207	org.jfree.chart.XYAreaChartTest	createChart	()	147 	2
2017-11-18T17:24:27.238	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	3
2017-11-18T17:24:27.240	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:24:27.242	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:24:27.243	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:24:27.244	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:24:27.244	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:24:27.245	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:24:27.246	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:24:27.246	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:24:27.247	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:24:27.248	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:24:27.248	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:24:27.249	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:24:27.251	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:24:27.252	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:24:27.253	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:24:27.253	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:24:27.254	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:24:27.255	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:24:27.259	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:24:27.261	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:24:27.262	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:24:27.262	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:24:27.263	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:24:27.264	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
2017-11-18T17:24:27.264	org.jfree.data.xy.XYDataItem	getX	()	97 	7
2017-11-18T17:24:27.265	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:24:27.266	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:24:27.268	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:24:27.269	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:24:27.270	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:24:27.270	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:24:27.271	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:24:27.275	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:24:27.276	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:24:27.276	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:24:27.277	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:24:27.278	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:24:27.279	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:24:27.279	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:24:27.280	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:24:27.281	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:24:27.281	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:24:27.282	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
