DateTime	ClassName	FunctionName	Parameters	Line	StackDepth
2017-11-18T17:25:50.017	org.jfree.chart.XYLineChartTest	setUp	()	79 	1
2017-11-18T17:25:50.124	org.jfree.chart.XYLineChartTest	createChart	()	148 	2
2017-11-18T17:25:50.171	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	3
2017-11-18T17:25:50.172	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:25:50.173	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:25:50.175	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:25:50.175	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:25:50.176	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:25:50.177	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:25:50.177	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:25:50.178	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:25:50.179	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:25:50.183	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:25:50.184	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:25:50.185	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:25:50.186	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:25:50.187	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:25:50.187	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:25:50.189	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:25:50.190	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:25:50.191	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:25:50.193	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:25:50.193	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
